IdentityCard_Num,PredictVote
1,Yellows
2,Purples
4,Oranges
5,Browns
6,Pinks
7,Pinks
8,Yellows
9,Khakis
10,Yellows
11,Whites
12,Yellows
13,Whites
14,Pinks
15,Khakis
16,Khakis
17,Yellows
18,Yellows
19,Greens
20,Purples
21,Pinks
22,Yellows
23,Oranges
24,Yellows
25,Yellows
26,Pinks
27,Oranges
28,Yellows
29,Yellows
30,Blues
31,Yellows
32,Yellows
33,Pinks
34,Whites
35,Yellows
36,Browns
37,Yellows
38,Pinks
39,Purples
40,Yellows
41,Yellows
42,Oranges
43,Whites
44,Yellows
45,Pinks
46,Yellows
47,Pinks
48,Greens
49,Pinks
50,Yellows
51,Pinks
52,Khakis
53,Pinks
54,Turquoises
55,Yellows
56,Yellows
57,Turquoises
58,Yellows
59,Yellows
60,Yellows
61,Violets
62,Pinks
63,Greens
64,Greens
65,Yellows
66,Khakis
67,Whites
68,Yellows
69,Purples
70,Khakis
71,Greens
72,Yellows
73,Yellows
74,Pinks
75,Pinks
76,Pinks
77,Browns
78,Yellows
79,Pinks
80,Pinks
81,Pinks
82,Greens
83,Purples
84,Yellows
85,Yellows
86,Yellows
87,Yellows
88,Greens
89,Yellows
90,Yellows
91,Pinks
92,Yellows
93,Whites
94,Yellows
95,Yellows
96,Yellows
97,Pinks
98,Yellows
99,Khakis
100,Yellows
101,Yellows
102,Pinks
103,Yellows
104,Khakis
105,Greens
106,Yellows
107,Khakis
108,Yellows
109,Yellows
110,Yellows
111,Yellows
112,Yellows
114,Yellows
115,Khakis
116,Turquoises
117,Yellows
118,Yellows
119,Yellows
120,Greens
121,Yellows
122,Yellows
123,Yellows
124,Blues
125,Pinks
126,Yellows
127,Yellows
128,Yellows
129,Pinks
130,Yellows
131,Khakis
132,Yellows
133,Greens
134,Pinks
135,Pinks
136,Khakis
137,Khakis
138,Yellows
139,Purples
140,Pinks
141,Pinks
142,Blues
143,Yellows
144,Khakis
145,Khakis
146,Pinks
147,Khakis
148,Purples
149,Pinks
150,Purples
151,Yellows
152,Yellows
153,Yellows
154,Khakis
155,Yellows
156,Yellows
157,Yellows
158,Browns
159,Greens
160,Turquoises
161,Browns
162,Pinks
163,Yellows
164,Browns
165,Browns
166,Yellows
167,Yellows
168,Pinks
169,Blues
170,Pinks
171,Pinks
172,Khakis
173,Whites
175,Yellows
176,Yellows
177,Khakis
178,Greens
179,Pinks
180,Yellows
181,Pinks
182,Purples
183,Yellows
184,Yellows
185,Pinks
186,Pinks
187,Khakis
188,Yellows
189,Khakis
190,Yellows
191,Pinks
192,Yellows
193,Yellows
194,Blues
195,Blues
196,Yellows
197,Khakis
198,Yellows
199,Yellows
201,Yellows
202,Pinks
203,Pinks
204,Yellows
206,Yellows
207,Pinks
208,Greens
209,Greens
210,Yellows
211,Yellows
212,Yellows
213,Purples
214,Pinks
215,Yellows
216,Greens
217,Whites
218,Yellows
219,Pinks
220,Yellows
221,Greens
222,Oranges
223,Pinks
224,Pinks
225,Pinks
226,Whites
227,Yellows
228,Yellows
229,Pinks
231,Yellows
232,Yellows
233,Yellows
234,Pinks
235,Browns
236,Yellows
237,Yellows
238,Yellows
239,Yellows
240,Purples
241,Pinks
242,Khakis
243,Yellows
244,Yellows
245,Yellows
246,Yellows
247,Pinks
