Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters,Issue_Education,Issue_Environment,Issue_Financial,Issue_Foreign_Affairs,Issue_Healthcare,Issue_Military,Issue_Other,Issue_Social,trans_Car,trans_Foot_or_bicycle,trans_Motorcycle_or_truck,trans_Public_or_other,Occ_Hightech,Occ_Industry_or_other,Occ_Public_Sector,Occ_Services_or_Retail,Occ_Student_or_Unemployed
Greys,10.0,399.22426287830496,60403.135785976796,131.17640979520365,1.0,453.90379345047006,1.0,1.0,1.0,0.696487385313958,0.18092444771900798,884.8664574325079,8.81807947764173,30.274833808653103,5.528,6472.0,88.0048468243331,569.680249042368,5678.39843258943,64589.494118196795,0.0,206028.65370872698,23.8679753863282,84.0047053818844,0.0559428473934531,17851.9649843734,40.0,2.0,4.0,803.726727529903,10.0,491.24824809345,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Purples,7.0,299.92285659596297,40305.026839323,99.97428553198759,1.0,403.15393728347397,1.0,1.0,1.0,0.596277632052079,0.7164981311652809,145.038888556883,8.64373126532882,83.11167161446059,2.075,7925.0,35.1514589739963,417.624250591075,4866.78787401689,50876.9165965729,0.0,162533.097147167,20.4358569820567,132.857044306389,31.2418121146038,10104.8320531634,70.0,0.0,1.0,646.9024282922239,12.055404671374253,461.450418063818,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Khakis,1.0,191.752420830793,10856.0877908333,63.9174736102642,1.0,169.84538307987802,1.0,-1.0,-1.0,0.33357695932500103,0.374650622019544,785.358558874577,2.62340468354523,15.251526562497,9.388,6612.0,65.0270967045799,444.767686072737,2587.9892029442603,40504.879668611204,1.0,28847.4541535506,21.0895160227241,530.437273838273,50.2517324406654,4159.36090632909,70.0,2.0,1.0,461.538352956806,11.0,88.5257943667107,0.6614864864864864,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Turquoises,10.0,38.6831977776358,10060.919807606,12.8943992592119,0.0,780.2550243213769,0.0,-1.0,-1.0,0.7603911093901842,0.0426869962830096,262.826624792069,1.99370957911015,9.858010546304289,12.788,3212.0,14.2754398519173,936.6775891769161,9675.9054215676,107586.67432870199,0.0,608797.902978753,30.605188925685702,621.975322178348,59.20377084985379,189.159931515177,90.0,1.0,2.0,1342.51645836714,12.0,842.962251351546,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Khakis,3.0,66.66856223658961,1195.9505892940401,22.2228540788632,0.0,53.816246331363295,1.0,1.0,1.0,0.36345349601469895,0.389291072264314,110.65033799968701,3.3650139067322002,10.6490095378831,10.144,5856.0,98.83486174512649,225.882191909477,989.926847132588,23969.689663201698,1.0,2896.18836919798,15.0293776288134,595.37887278677,17.5382371991873,526.07809748931,80.0,1.0,3.0,317.028600021456,10.0,216.706005339581,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Khakis,2.0,419.715270233177,8582.213834755721,139.90509007772602,0.0,61.343113606429704,1.0,-1.0,1.0,0.98431660560891,0.8260876615531741,173.173896735534,1.6015032865107097,23.995519941672697,9.396,6604.0,23.7873878329992,302.060607820749,1217.5523517058,28842.5288242601,-1.0,3762.97758693134,17.3798909035917,590.3716383104239,30.944998934864998,19723.3393197343,100.0,2.0,3.0,357.00727725346604,16.0,158.036837708297,3.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Yellows,10.0,93.2656198913077,8415.56366131453,31.088539963769197,0.0,270.696651277998,1.0,-1.0,-1.0,0.87308974377811,0.142967336811125,882.305567618459,9.75552489515394,51.240678736940005,4.285,9715.0,6.8594858748838305,359.73246158251504,3426.4314359450104,47180.4050494243,1.0,73276.67701312191,18.9666143943118,286.800809217183,13.0497419973835,1007.58585704265,70.0,1.0,4.0,650.828120793306,9.0,599.998480482486,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Khakis,3.0,132.002624945654,12604.774998823501,44.00087498188479,1.0,286.46646240587,1.0,1.0,-1.0,0.248054172145203,0.590535257011652,74.947128072381,8.48261183127761,3.8904346991330403,9.709,6291.0,33.5986944613978,313.42600821517397,3491.51664048905,31367.953336724102,0.0,82063.0340833337,17.703841623082102,521.8513062799819,91.35968708433208,1990.0778741533397,60.0,1.0,0.0,341.685332299687,8.0,61.91055733088571,3.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Purples,10.0,590.352298205869,79446.2191874147,196.78409940195598,1.0,403.722757218996,1.0,1.0,1.0,0.8934253959450871,0.694873364875093,485.836206236854,4.85619944753125,51.069826376624405,3.748,6252.0,3.91123611479998,425.17577624229597,4887.57912467455,53011.98970754269,1.0,162992.064696508,20.6197908874531,125.017397795073,50.3204866340313,38930.7658768409,80.0,0.0,2.0,686.827012066838,10.0,527.593075453745,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Purples,6.0,237.33075584411702,35795.2955544589,79.11025194803909,1.0,452.473537538092,1.0,-1.0,-1.0,0.808711319230497,0.960443520685658,798.591188620776,5.858626868575809,65.1402382645756,6.371,3629.0,53.7664053263143,400.222532869109,5325.18044111914,52922.0232019651,0.0,204732.302172235,20.0055625481792,133.25144520549,36.1358636524528,6347.54221523026,80.0,2.0,4.0,692.6687297335901,13.0,574.442192795164,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
