Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
Browns,2.0,297.63321419213503,27913.070128329,Financial,99.21107139737829,Yes,281.350354705136,Yes,Male,By_16:00,0.6704736009705811,0.99328959803097,216.640492202714,7.681001320015639,,6.837000000000001,3163.0,55.6024798657745,364.58971403924596,3542.6829751298496,42870.2864924913,Yes,79158.0220927058,19.0942324810202,280.579942320322,25.927749928087,9952.04775921308,60.0,Below_30,1.0,550.182155048538,6.0,Foot_or_bicycle,Hightech,387.832753885406,0.0,Yes
Browns,7.0,266.771747726694,26183.3345352154,Social,88.92391590889791,Yes,294.446485713023,Yes,Female,By_16:00,0.39148176996968703,0.505410303128883,289.011189946905,4.14562079356983,29.7238578321412,1.44,8560.0,82.4242369271815,324.653213930606,3593.7712849914396,40118.3662740882,Maybe,86698.7329487496,18.018135695199,289.002867888474,60.7396794948727,8006.386736481651,70.0,Below_30,3.0,520.3394737722911,6.0,Foot_or_bicycle,Industry_or_other,397.41386532688597,0.0,Yes
Purples,1.0,150.984606139706,22200.1158023385,Financial,50.3282020465685,Yes,441.106872480697,Yes,Female,After_16:00,0.477676122682169,0.43569717509671996,790.582328103483,2.77400794671848,81.1923559755087,0.42700000000000005,9573.0,79.0190924191847,420.973516005928,5253.01575681883,56047.756669718096,No,194575.272949702,20.5176391430868,176.62303047783,24.3044541450217,2593.2561232867897,60.0,30-45,1.0,746.270733328883,11.0,Car,Industry_or_other,646.5677633509571,1.0,No
Violets,3.0,177.93959874207002,14516.861304046,Financial,59.313199580690004,,244.749253229835,Yes,Female,After_16:00,0.18196045397780802,0.9052890622988342,640.173685504124,5.9423362556844905,63.075960683636396,7.768,8232.0,94.4716661470011,292.492269657239,3032.47707161283,38539.700654143504,Maybe,59902.1969565618,17.1024053763568,329.733798001496,0.296916160732508,3587.36884407945,60.0,45_and_up,1.0,526.404528376611,12.0,Motorcycle_or_truck,Public_Sector,477.373120724224,0.0,Yes
Greens,5.0,293.392484156537,29430.20763924,Healthcare,97.79749471884571,Yes,300.93007723610697,Yes,Female,After_16:00,0.7664186665788292,0.8008112187962979,661.369202658534,9.137712246738369,0.8692921139299871,,9370.0,85.3099331259727,516.302461479365,4041.9056953197996,60846.3364090272,No,90558.91138532961,22.7222899699692,236.817439560564,53.410914586857004,9672.14746800149,80.0,45_and_up,3.0,808.381053004261,14.0,Car,Industry_or_other,627.231659898444,0.0,No
Khakis,8.0,546.969054606308,18364.722283934298,Social,182.32301820210301,No,100.726295917158,Yes,Female,By_16:00,0.6500981030985711,0.16733030113391598,12.3268053866923,8.236019024625419,6.789727997966111,8.37,7630.0,51.758017973043,119.981950847432,1247.22686086644,12932.8479921645,No,10145.7866891908,10.953627291789301,698.775244991163,5.78985796310008,33434.0059845263,70.0,Below_30,2.0,153.316056958279,13.0,Motorcycle_or_truck,Services_or_Retail,70.5193432077492,0.0,Yes
Whites,5.0,570.743869647485,57215.8353604721,Education,190.24795654916198,Yes,300.74349495410803,Yes,Male,,0.0288729274179786,0.3772445179056379,572.4165183492,2.3344028904102703,77.051156014204,6.765,3235.0,85.0785139482468,290.258806711561,3587.9525629642,39958.723227791605,No,90446.6497572115,17.036983498012802,289.351411507473,98.9395995624363,36394.5329276809,100.0,45_and_up,3.0,544.032911984661,10.0,Public_or_other,Services_or_Retail,505.45127289769096,0.0,No
Browns,1.0,217.514503704631,23334.594919519102,Healthcare,72.5048345682102,No,321.835020498759,Yes,Female,By_16:00,0.368473939131945,0.634840132668614,496.14955019205803,2.79015145730227,34.0417470317334,1.369,8631.0,28.8196555804461,392.693822002036,4003.73784899166,46573.2141585839,Yes,103577.780419437,19.816503778468,222.428114143478,7.76719362474978,5339.45587033174,80.0,30-45,1.0,596.184312502625,8.0,Foot_or_bicycle,Student_or_Unemployed,421.15274130183195,0.0,No
Whites,5.0,864.101257834203,,Environment,288.033752611401,No,291.245995319933,Yes,Female,By_16:00,0.286483893869445,0.995402064640075,500.87329791858804,,37.9666340537369,0.760999999999999,9239.0,81.58044000156221,313.491712952954,3539.4433791052293,42839.8967628047,Yes,84824.2297898983,17.705697189124,285.665083870098,49.443854391574895,83261.4763960171,90.0,45_and_up,1.0,589.731876105513,9.0,Public_or_other,Hightech,556.929469831722,0.0,Yes
Khakis,9.0,311.392568236446,1297.2973592840801,Education,103.79752274548201,No,12.4983460584617,Yes,Female,After_16:00,0.53748798253946,0.24521427671425,956.6710989456619,9.6314285742119,24.685771134682003,6.944,9056.0,94.452106510289,324.507282115519,773.9980248156551,26182.221019909302,Yes,156.208654197064,18.0140856586039,719.7618835732151,21.9718978041783,10887.723250844301,100.0,45_and_up,2.0,293.50566172011503,16.0,Public_or_other,Hightech,0.39854642060393297,0.0,
